52.223.13.41 tracker.openbittorrent.com
185.31.40.18 test.dns.malw.link
130.255.77.28 ntc.party
103.27.157.38 controlplane.tailscale.com
45.95.233.23 game.clashroyaleapp.com
193.23.209.189 gamea.clashofclans.com
185.246.223.127 game.brawlstarsgame.com
108.61.167.26 game.squadbustersgame.com
45.95.233.23 game.mocogame.com
172.64.33.155 d.rutor.info
157.240.245.174 instagram.com
157.240.245.174 www.instagram.com
157.240.245.174 b.i.instagram.com
157.240.245.174 z-p42-chat-e2ee-ig.facebook.com
157.240.245.174 help.instagram.com
103.27.157.38 gemini.google.com
103.27.157.38 aistudio.google.com
103.27.157.38 generativelanguage.googleapis.com
103.27.157.38 aitestkitchen.withgoogle.com
103.27.157.38 aisandbox-pa.googleapis.com
103.27.157.38 webchannel-alkalimakersuite-pa.clients6.google.com
103.27.157.38 alkalimakersuite-pa.clients6.google.com
103.27.157.38 assistant-s3-pa.googleapis.com
103.27.157.38 proactivebackend-pa.googleapis.com
95.182.120.241 robinfrontend-pa.googleapis.com
103.27.157.38 o.pki.goog
103.27.157.38 labs.google
103.27.157.38 notebooklm.google.com
103.27.157.38 jules.google.com
103.27.157.38 stitch.withgoogle.com
